101_02,57:20.0,07:00.0
101_03,32:05.0,43:00.0
101_04,11:05.0,27:40.0
101_05,15:50.0,32:20.0
102_02,41:10.0,00:50.0
102_03,48:40.0,05:05.0
102_04,02:00.0,25:10.0
102_05,48:20.0,15:20.0
103_02,39:05.0,22:45.0
103_03,15:00.0,38:55.0
103_04,20:35.0,36:55.0
103_05,21:50.0,33:00.0
104_02,08:10.0,19:40.0
104_03,10:50.0,22:30.0
104_04,11:40.0,28:50.0
104_05,12:20.0,28:10.0
106_02,26:00.0,34:10.0
106_03,13:55.0,24:20.0
106_04,36:00.0,52:15.0
106_05,10:50.0,30:10.0
110_02,07:50.0,16:00.0
110_03,20:25.0,34:20.0
110_04,26:30.0,39:35.0
110_05,16:20.0,38:30.0
